"books" "school" "gender" "math" "eng"
"1" 1 "Sch2" "M" -0.173122422881429 -0.0295806563392873
"2" 1 "Sch1" "M" -0.93367803440498 -1.47967961060474
"3" 5 "Sch3" "F" 0.452746270384382 0.38539493345276
"4" 0 "Sch2" "F" -0.663957179812825 -1.26103825754036
"5" 1 "Sch1" "M" -0.66875297494226 -1.63762664723251
"6" 7 "Sch3" "F" 1.01519039653784 1.25984792512157
"7" 0 "Sch2" "F" 0.8921389595792 0.0254535507818317
"8" 2 "Sch1" "F" 0.278188717293382 0.739252646558672
"9" 1 "Sch1" "M" -0.435658453536209 -0.972913569524618
"10" 11 "Sch3" "F" 0.706063959959948 1.01898893043956
"11" 0 "Sch2" "F" -2.26516154441793 -1.14158569722907
"12" 0 "Sch1" "M" -2.22152409036599 -1.20032383288037
"13" 3 "Sch1" "M" -0.688386690213491 -1.3187981712632
"14" 2 "Sch1" "M" -1.02039317530064 -0.889858861925793
"15" 1 "Sch2" "M" -0.271470854695077 -0.163976818488444
"16" 1 "Sch1" "F" -0.555073452576033 -1.81074970660936
"17" 11 "Sch3" "F" 0.429308176078948 0.983425603166306
"18" 1 "Sch1" "M" -1.74375607585345 -1.70446159763509
"19" 2 "Sch2" "F" -1.60543225538772 -0.105535748380026
"20" 4 "Sch1" "F" -0.713359688740627 -0.482122351132597
"21" 8 "Sch3" "M" -0.455341597668727 0.852166920612599
"22" 1 "Sch1" "M" 0.591566248336161 -0.584448805075397
"23" 1 "Sch1" "M" -0.278280239934078 -0.942138002483497
"24" 3 "Sch2" "F" -0.230763306615483 0.146643506810875
"25" 2 "Sch1" "F" 0.457521736579683 -0.484940034998861
"26" 1 "Sch1" "F" -0.426849453913882 -0.473575764364125
"27" 8 "Sch3" "M" 2.41897699191619 1.87463689298065
"28" 4 "Sch3" "F" 0.890464076282186 0.692104276055546
"29" 3 "Sch3" "M" 0.281229333769294 -0.733545926976195
"30" 2 "Sch1" "F" 0.113902596260491 -0.548572836662706
"31" 2 "Sch1" "F" -0.760945464135602 -1.31349156788543
"32" 1 "Sch2" "F" 0.113623167527055 -0.714001690231319
"33" 7 "Sch3" "F" 1.45068587546904 1.34479702927077
"34" 7 "Sch3" "M" -0.27440107779854 0.586076651538631
"35" 3 "Sch2" "M" -1.05820333536755 0.22099842232996
"36" 4 "Sch3" "F" -1.28309670277393 -0.00227921267514503
"37" 1 "Sch1" "F" -0.482415887011929 -1.06927347091979
"38" 1 "Sch1" "F" 0.747123409620777 -1.13564917069718
"39" 2 "Sch1" "F" -0.798730123509224 -1.54079570215736
"40" 1 "Sch1" "M" 1.19852136335031 -0.62173058061911
