asset_name: ["Treasury" "Hardware" "Theatre" "Telecom" "Brewery" "Highways" "Cars" "Bank" "Software" "Electronics"]
returns: [5 17 26 12 8 9 7 6 31 21]
risky: [2 3 4 9 10]
northamerican: [1 2 3 4]
Q: [ 0.1 0 0 0 0 0 0 0 0 0 ! treasury
 0 19 -2 4 1 1 1 0.5 10 5 ! hardware
 0 -2 28 1 2 1 1 0 -2 -1 ! theater
 0 4 1 22 0 1 2 0 3 4 ! telecom
 0 1 2 0 4 -1.5 -2 -1 1 1 ! brewery
 0 1 1 1 -1.5 3.5 2 0.5 1 1.5 ! highways
 0 1 1 2 -2 2 5 0.5 1 2.5 ! cars
 0 0.5 0 0 -1 0.5 0.5 1 0.5 0.5 ! bank
 0 10 -2 3 1 1 1 0.5 25 8 ! software
 0 5 -1 4 1 1.5 2.5 0.5 8 16 ! electronics
]
